date_time,traffic_volume,hour,day_of_week,month,is_weekend,is_holiday,is_morning_rush_hour,is_evening_rush_hour,temp_celsius,rain_1h,snow_1h,clouds_all,weather_event_count,weather_severity_rank,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,day_of_month,traffic_lag_1h,traffic_lag_2h,traffic_lag_3h,traffic_lag_4h,traffic_lag_6h,traffic_lag_12h,traffic_lag_24h,traffic_lag_48h,traffic_lag_168h,traffic_roll_mean_6h,traffic_roll_std_6h,traffic_roll_min_6h,traffic_roll_max_6h,traffic_roll_mean_24h,traffic_roll_std_24h,traffic_roll_min_24h,traffic_roll_max_24h,traffic_roll_mean_168h,traffic_roll_std_168h
2012-10-02 09:00:00,5545,9,1,10,0,0,1,0,15.13,0.0,0.0,40,1,2,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,,,,,,,,,,,,,,,,,,,
2012-10-02 10:00:00,4516,10,1,10,0,0,0,0,16.21,0.0,0.0,75,1,2,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,5545.0,,,,,,,,,5545.0,,5545.0,5545.0,5545.0,,5545.0,5545.0,5545.0,
2012-10-02 11:00:00,4767,11,1,10,0,0,0,0,16.43,0.0,0.0,90,1,2,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,4516.0,5545.0,,,,,,,,5030.5,727.6128778409574,4516.0,5545.0,5030.5,727.6128778409574,4516.0,5545.0,5030.5,727.6128778409574
2012-10-02 12:00:00,5026,12,1,10,0,0,0,0,16.98,0.0,0.0,90,1,2,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,4767.0,4516.0,5545.0,,,,,,,4942.666666666667,536.5205805310113,4516.0,5545.0,4942.666666666667,536.5205805310113,4516.0,5545.0,4942.666666666667,536.5205805310113
2012-10-02 13:00:00,4918,13,1,10,0,0,0,0,17.99,0.0,0.0,75,1,2,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,5026.0,4767.0,4516.0,5545.0,,,,,,4963.5,440.0443159501097,4516.0,5545.0,4963.5,440.0443159501097,4516.0,5545.0,4963.5,440.0443159501097
2012-10-02 14:00:00,5181,14,1,10,0,0,0,0,18.57,0.0,0.0,1,1,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,4918.0,5026.0,4767.0,4516.0,,,,,,4954.4,381.6324147658319,4516.0,5545.0,4954.4,381.6324147658319,4516.0,5545.0,4954.4,381.6324147658319
2012-10-02 15:00:00,5584,15,1,10,0,0,0,1,20.02,0.0,0.0,1,1,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,5181.0,4918.0,5026.0,4767.0,5545.0,,,,,4992.166666666667,353.6560004674976,4516.0,5545.0,4992.166666666667,353.6560004674976,4516.0,5545.0,4992.166666666667,353.6560004674976
2012-10-02 16:00:00,6015,16,1,10,0,0,0,1,20.71,0.0,0.0,1,1,1,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,5584.0,5181.0,4918.0,5026.0,4516.0,,,,,4998.666666666667,365.99216749360454,4516.0,5584.0,5076.714285714285,392.7661366452539,4516.0,5584.0,5076.714285714285,392.7661366452539
2012-10-02 17:00:00,5791,17,1,10,0,0,0,1,20.99,0.0,0.0,20,1,2,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,6015.0,5584.0,5181.0,4918.0,4767.0,,,,,5248.5,468.02083286964967,4767.0,6015.0,5194.0,492.2142390695918,4516.0,6015.0,5194.0,492.2142390695918
2012-10-02 18:00:00,4770,18,1,10,0,0,0,1,19.95,0.0,0.0,20,1,2,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,2,5791.0,6015.0,5584.0,5181.0,5026.0,,,,,5419.166666666667,443.3776794863128,4918.0,6015.0,5260.333333333333,501.5889751579476,4516.0,6015.0,5260.333333333333,501.5889751579476
